"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.299209806E0,-1.835625076E1,1.237500072E0,-5.038125229E1,5.363537947E1
2.309209806E0,-1.831875038E1,1.031250000E0,-5.034375381E1,5.358296035E1
2.319209806E0,-1.873125076E1,1.125000000E0,-5.019375229E1,5.358673482E1
2.329209806E0,-1.856250000E1,1.162500024E0,-5.047500229E1,5.379259864E1
2.339209806E0,-1.845000076E1,1.256250024E0,-5.025000381E1,5.354478103E1
2.349209806E0,-1.858125114E1,1.050000072E0,-5.019375229E1,5.353296333E1
2.359209806E0,-1.839375114E1,9.750000238E-1,-5.028750229E1,5.355477189E1
2.369209806E0,-1.861875153E1,9.562500119E-1,-5.025000381E1,5.359697012E1
2.379209806E0,-1.880625153E1,8.812500238E-1,-5.025000381E1,5.366110865E1
2.389209806E0,-1.888125038E1,8.812500238E-1,-5.013750076E1,5.358215375E1
2.399209806E0,-1.860000038E1,9.375000596E-1,-5.036250305E1,5.369562956E1
2.409209806E0,-1.873125076E1,7.312500477E-1,-5.017500305E1,5.356235070E1
2.419209806E0,-1.858125114E1,6.562500000E-1,-5.025000381E1,5.357944047E1
2.429209806E0,-1.856250000E1,7.875000238E-1,-5.025000381E1,5.357470901E1
2.439209806E0,-1.863750076E1,8.062500358E-1,-5.006250381E1,5.342528205E1
2.449209806E0,-1.846875000E1,6.187500358E-1,-5.019375229E1,5.348729145E1
2.459209806E0,-1.841250038E1,6.562500000E-1,-5.026875305E1,5.353875575E1
2.469209806E0,-1.843125153E1,5.437500477E-1,-5.028750229E1,5.356154949E1
2.479209806E0,-1.858125114E1,6.000000238E-1,-5.028750229E1,5.361395136E1
2.489209806E0,-1.858125114E1,6.937500238E-1,-5.017500305E1,5.350957965E1
2.499209806E0,-1.856250000E1,7.687500119E-1,-5.040000153E1,5.371515183E1
2.509209806E0,-1.839375114E1,9.750000238E-1,-5.043750381E1,5.369564691E1
2.519209806E0,-1.841250038E1,1.143750072E0,-5.051250076E1,5.377584093E1
2.529209806E0,-1.837500000E1,1.237500072E0,-5.051250076E1,5.376508872E1
2.539209806E0,-1.835625076E1,1.218750000E0,-5.040000153E1,5.365256236E1
2.549209806E0,-1.824375153E1,1.481250048E0,-5.060625076E1,5.381469305E1
2.559209806E0,-1.830000114E1,1.256250024E0,-5.053125381E1,5.375756522E1
2.569209806E0,-1.852500153E1,1.256250024E0,-5.041875076E1,5.372898914E1
2.579209806E0,-1.860000038E1,1.106250048E0,-5.023125076E1,5.357576277E1
2.589209806E0,-1.890000153E1,8.250000477E-1,-5.017500305E1,5.362295790E1
2.599209806E0,-1.878750038E1,6.750000119E-1,-5.021250153E1,5.361642570E1
2.609209806E0,-1.890000153E1,6.750000119E-1,-5.008125305E1,5.353314478E1
2.619209806E0,-1.882500076E1,6.750000119E-1,-5.038125229E1,5.378760880E1
2.629209806E0,-1.886250114E1,5.062500238E-1,-5.045625305E1,5.386913505E1
2.639209806E0,-1.897500038E1,5.062500238E-1,-5.030625153E1,5.376826082E1
2.649209806E0,-1.886250114E1,4.125000238E-1,-5.047500229E1,5.388589761E1
2.659209806E0,-1.899375153E1,4.687500298E-1,-5.049375153E1,5.394998857E1
2.669209806E0,-1.884375000E1,6.375000477E-1,-5.071875381E1,5.410993725E1
2.679209806E0,-1.890000153E1,5.812500119E-1,-5.081250381E1,5.421677280E1
2.689209806E0,-1.886250114E1,4.500000179E-1,-5.107500076E1,5.444861938E1
2.699209806E0,-1.905000114E1,3.187500238E-1,-5.079375076E1,5.424950932E1
2.709209806E0,-1.910625076E1,4.500000179E-1,-5.055000305E1,5.404215139E1
2.719209806E0,-1.876875114E1,5.625000000E-1,-5.094375229E1,5.429409105E1
2.729209806E0,-1.865625000E1,8.625000119E-1,-5.111250305E1,5.441771346E1
2.739209806E0,-1.869375038E1,9.375000596E-1,-5.098125076E1,5.430859176E1
2.749209806E0,-1.837500000E1,8.812500238E-1,-5.100000381E1,5.421639619E1
2.759209806E0,-1.863750076E1,1.050000072E0,-5.075625229E1,5.408008951E1
2.769209806E0,-1.861875153E1,9.750000238E-1,-5.062500381E1,5.394904582E1
2.779209806E0,-1.837500000E1,9.375000596E-1,-5.075625229E1,5.398811608E1
2.789209806E0,-1.852500153E1,9.000000358E-1,-5.083125305E1,5.410916714E1
2.799209806E0,-1.873125076E1,8.625000119E-1,-5.068125153E1,5.403880937E1
2.809209806E0,-1.869375038E1,6.937500238E-1,-5.049375153E1,5.384753045E1
2.819209806E0,-1.848750114E1,6.375000477E-1,-5.058750153E1,5.386361866E1
2.829209806E0,-1.888125038E1,5.437500477E-1,-5.026875305E1,5.370051036E1
2.839209806E0,-1.875000000E1,5.062500238E-1,-5.021250153E1,5.360143747E1
2.849209806E0,-1.890000153E1,5.062500238E-1,-4.995000076E1,5.340850984E1
2.859209806E0,-1.897500038E1,4.687500298E-1,-4.976250076E1,5.325952355E1
2.869209806E0,-1.867500114E1,1.875000000E-1,-4.966875076E1,5.306388250E1
2.879209806E0,-1.850625038E1,3.562500179E-1,-4.968750381E1,5.302316713E1
2.889209806E0,-1.869375038E1,5.250000358E-1,-4.978125381E1,5.317805148E1
2.899209806E0,-1.869375038E1,6.562500000E-1,-4.961250305E1,5.302157510E1
2.909209806E0,-1.828125000E1,6.562500000E-1,-4.993125153E1,5.317673029E1
2.919209806E0,-1.839375114E1,6.375000477E-1,-4.983750153E1,5.312732862E1
2.929209806E0,-1.850625038E1,8.437500596E-1,-4.996875381E1,5.329230315E1
2.939209806E0,-1.850625038E1,8.062500358E-1,-5.023125076E1,5.353792950E1
2.949209806E0,-1.865625000E1,9.375000596E-1,-5.010000229E1,5.346910136E1
2.959209806E0,-1.861875153E1,8.625000119E-1,-4.985625076E1,5.322638025E1
2.969209806E0,-1.860000038E1,6.375000477E-1,-4.993125153E1,5.328692428E1
2.979209806E0,-1.869375038E1,5.812500119E-1,-4.991250229E1,5.330152005E1
