"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.417842461E0,-1.072500038E1,7.500000477E0,-3.993750000E1,4.202712870E1
1.427842461E0,-1.080000019E1,7.518750191E0,-3.993750000E1,4.204967913E1
1.437842461E0,-1.098750019E1,7.631250381E0,-3.967500305E1,4.186964306E1
1.447842461E0,-1.102500057E1,7.556250095E0,-3.976875305E1,4.195475268E1
1.457842461E0,-1.111875057E1,7.800000191E0,-3.969375229E1,4.195307603E1
1.467842461E0,-1.117500019E1,7.818750381E0,-3.960000229E1,4.188285649E1
1.477842461E0,-1.106250000E1,8.062500000E0,-3.963750076E1,4.193464295E1
1.487842461E0,-1.121250057E1,8.062500000E0,-3.952500153E1,4.186824359E1
1.497842461E0,-1.136250019E1,8.043750763E0,-3.945000076E1,4.183432678E1
1.507842461E0,-1.138125038E1,7.950000286E0,-3.952500153E1,4.189225597E1
1.517842461E0,-1.123125076E1,7.818750381E0,-3.958125305E1,4.188017961E1
1.527842461E0,-1.070625019E1,8.025000572E0,-3.963750076E1,4.183486458E1
1.537842461E0,-1.061250019E1,7.875000477E0,-3.973125076E1,4.187138737E1
1.547842461E0,-1.038750076E1,7.725000381E0,-3.997500229E1,4.201876499E1
1.557842461E0,-1.033125019E1,7.650000095E0,-4.010625076E1,4.211613209E1
1.567842461E0,-1.021875000E1,7.650000095E0,-4.018125153E1,4.216015094E1
1.577842461E0,-1.012500000E1,7.743750095E0,-4.036875153E1,4.233340750E1
1.587842461E0,-1.018125057E1,7.837500095E0,-4.050000000E1,4.248922535E1
1.597842461E0,-1.027500057E1,7.931250095E0,-4.061250305E1,4.263631983E1
1.607842461E0,-1.066875076E1,7.818750381E0,-4.057500076E1,4.267652501E1
1.617842461E0,-1.068750000E1,7.781250477E0,-4.046250153E1,4.256741177E1
1.627842461E0,-1.085625076E1,7.781250477E0,-4.031250000E1,4.246767825E1
1.637842461E0,-1.095000076E1,7.706250191E0,-4.023750305E1,4.240690345E1
1.647842461E0,-1.076250076E1,7.762500286E0,-4.035000229E1,4.247599932E1
1.657842461E0,-1.095000076E1,7.706250191E0,-4.033125305E1,4.249586782E1
1.667842461E0,-1.121250057E1,7.500000477E0,-4.006875229E1,4.227854168E1
1.677842461E0,-1.121250057E1,7.443750381E0,-4.005000305E1,4.225082642E1
1.687842461E0,-1.121250057E1,7.443750381E0,-4.018125153E1,4.237525885E1
1.697842461E0,-1.119375038E1,7.650000095E0,-4.033125305E1,4.254917769E1
1.707842461E0,-1.100625038E1,7.856250286E0,-4.061250305E1,4.280459812E1
1.717842461E0,-1.093125057E1,7.931250095E0,-4.051875305E1,4.271026008E1
1.727842461E0,-1.121250057E1,7.912500381E0,-4.033125305E1,4.260208685E1
1.737842461E0,-1.096875000E1,7.781250477E0,-4.025625229E1,4.244322306E1
1.747842461E0,-1.050000000E1,8.062500000E0,-4.031250000E1,4.243054987E1
1.757842461E0,-1.068750000E1,8.043750763E0,-4.012500000E1,4.229586514E1
1.767842461E0,-1.074375057E1,8.062500000E0,-3.990000153E1,4.210038247E1
1.777842461E0,-1.076250076E1,7.950000286E0,-4.003125000E1,4.220823265E1
1.787842461E0,-1.080000019E1,7.800000191E0,-3.988125229E1,4.204752420E1
1.797842461E0,-1.081875038E1,7.725000381E0,-3.982500076E1,4.198513638E1
1.807842461E0,-1.057500076E1,7.912500381E0,-3.976875305E1,4.190455850E1
1.817842461E0,-1.081875038E1,8.062500000E0,-3.991875076E1,4.213734601E1
1.827842461E0,-1.087500000E1,7.987500191E0,-3.976875305E1,4.199547004E1
1.837842461E0,-1.068750000E1,7.968750477E0,-4.001250076E1,4.217491977E1
1.847842461E0,-1.068750000E1,7.856250286E0,-4.008750153E1,4.222500566E1
1.857842461E0,-1.063125038E1,7.875000477E0,-3.991875076E1,4.205408161E1
1.867842461E0,-1.087500000E1,7.800000191E0,-3.967500305E1,4.187136844E1
1.877842461E0,-1.081875038E1,7.912500381E0,-3.991875076E1,4.210890268E1
1.887842461E0,-1.104375076E1,7.800000191E0,-4.014375305E1,4.235947761E1
1.897842461E0,-1.059375000E1,7.781250477E0,-4.010625076E1,4.220529289E1
1.907842461E0,-1.061250019E1,7.725000381E0,-4.038750076E1,4.246705793E1
1.917842461E0,-1.068750000E1,7.650000095E0,-4.001250076E1,4.211585657E1
1.927842461E0,-1.072500038E1,7.650000095E0,-4.012500000E1,4.223225970E1
1.937842461E0,-1.074375057E1,7.668750286E0,-4.010625076E1,4.222261548E1
1.947842461E0,-1.057500076E1,7.800000191E0,-4.031250000E1,4.240009788E1
1.957842461E0,-1.055625057E1,7.743750095E0,-4.012500000E1,4.220682074E1
1.967842461E0,-1.050000000E1,7.818750381E0,-3.993750000E1,4.202840425E1
1.977842461E0,-1.074375057E1,7.856250286E0,-3.995625305E1,4.211473617E1
1.987842461E0,-1.076250076E1,7.800000191E0,-4.003125000E1,4.218023710E1
1.997842461E0,-1.078125000E1,7.800000191E0,-4.006875229E1,4.222061421E1
2.007842461E0,-1.061250019E1,7.875000477E0,-4.021875000E1,4.233424907E1
2.017842461E0,-1.061250019E1,7.818750381E0,-4.016250229E1,4.227037506E1
2.027842461E0,-1.059375000E1,7.743750095E0,-4.023750305E1,4.232315981E1
2.037842461E0,-1.072500038E1,7.687500477E0,-4.040625000E1,4.250633289E1
2.047842461E0,-1.063125038E1,7.706250191E0,-4.051875305E1,4.259318168E1
2.057842461E0,-1.072500038E1,7.575000286E0,-4.061250305E1,4.268233436E1
2.067842461E0,-1.061250019E1,7.650000095E0,-4.046250153E1,4.252483617E1
2.077842461E0,-1.036875057E1,7.781250477E0,-4.057500076E1,4.259565159E1
2.087842461E0,-1.057500076E1,7.575000286E0,-4.033125305E1,4.237713113E1
2.097842461E0,-1.051875019E1,7.537500381E0,-4.046250153E1,4.248143179E1
2.107842461E0,-1.087500000E1,7.500000477E0,-4.021875000E1,4.233277080E1
2.117842461E0,-1.100625038E1,7.537500381E0,-4.023750305E1,4.239113246E1
2.127842461E0,-1.121250057E1,7.481250286E0,-4.023750305E1,4.243519679E1
2.137842461E0,-1.119375038E1,7.631250381E0,-4.008750153E1,4.231481784E1
2.147842461E0,-1.108125019E1,7.781250477E0,-4.020000076E1,4.241912335E1
2.157842461E0,-1.132500076E1,7.762500286E0,-4.038750076E1,4.265749959E1
2.167842461E0,-1.115625000E1,8.175000191E0,-4.031250000E1,4.261912949E1
2.177842461E0,-1.115625000E1,8.231250763E0,-4.040625000E1,4.271861939E1
2.187842461E0,-1.083750057E1,8.250000000E0,-4.048125076E1,4.271118802E1
2.197842461E0,-1.074375057E1,8.193750381E0,-4.036875153E1,4.256996384E1
2.207842461E0,-1.089375019E1,8.175000191E0,-4.016250229E1,4.240909114E1
2.217842461E0,-1.089375019E1,8.137500763E0,-4.001250076E1,4.225982642E1
2.227842461E0,-1.085625076E1,7.875000477E0,-3.986250305E1,4.205820922E1
2.237842461E0,-1.085625076E1,7.725000381E0,-3.973125076E1,4.190591961E1
2.247842461E0,-1.093125057E1,7.443750381E0,-3.991875076E1,4.205244727E1
2.257842461E0,-1.102500057E1,7.462500095E0,-3.976875305E1,4.193796925E1
2.267842461E0,-1.108125019E1,7.462500095E0,-3.976875305E1,4.195279172E1
2.277842461E0,-1.096875000E1,7.556250095E0,-3.975000000E1,4.192222432E1
2.287842461E0,-1.089375019E1,7.443750381E0,-3.991875076E1,4.204271489E1
2.297842461E0,-1.089375019E1,7.462500095E0,-4.014375305E1,4.225971616E1
2.307842461E0,-1.121250057E1,7.612500191E0,-4.016250229E1,4.238746181E1
2.317842461E0,-1.108125019E1,7.818750381E0,-4.021875000E1,4.244378417E1
2.327842461E0,-1.108125019E1,7.856250286E0,-4.016250229E1,4.239742167E1
