"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.955123078E0,-2.679375076E1,2.971875191E1,-7.582500458E1,8.573529386E1
4.965123078E0,-2.686875153E1,2.998125076E1,-7.661250305E1,8.654640853E1
4.975123078E0,-2.692500114E1,3.013125038E1,-7.680000305E1,8.678184375E1
4.985123078E0,-2.700000191E1,3.050625038E1,-7.726875305E1,8.735039561E1
4.995123078E0,-2.724375153E1,3.061875153E1,-7.736250305E1,8.754819713E1
5.005123078E0,-2.763750076E1,3.058125114E1,-7.785000610E1,8.808897672E1
5.015123078E0,-2.767500114E1,3.086250114E1,-7.839375305E1,8.867908537E1
5.025123078E0,-2.780625153E1,3.121875191E1,-7.901250458E1,8.939112917E1
5.035123078E0,-2.801250076E1,3.135000038E1,-7.951875305E1,8.994862317E1
5.045123078E0,-2.827500153E1,3.153750038E1,-7.970625305E1,9.026171069E1
5.055123078E0,-2.891250038E1,3.191250038E1,-8.034375000E1,9.115623140E1
5.065123078E0,-2.919375038E1,3.219375229E1,-8.081250000E1,9.175714089E1
5.075123078E0,-2.945625114E1,3.264375305E1,-8.133750153E1,9.246120537E1
5.085123078E0,-2.953125191E1,3.298125076E1,-8.205000305E1,9.323122193E1
5.095123078E0,-3.009375191E1,3.315000153E1,-8.280000305E1,9.412968188E1
5.105123078E0,-3.045000076E1,3.343125153E1,-8.325000000E1,9.473865961E1
5.115123078E0,-3.076875114E1,3.358125305E1,-8.386875153E1,9.543785458E1
5.125123078E0,-3.123750114E1,3.397500229E1,-8.441250610E1,9.620578696E1
5.135123078E0,-3.142500114E1,3.405000305E1,-8.493750000E1,9.675387491E1
5.145123078E0,-3.189375114E1,3.431250000E1,-8.540625000E1,9.741040272E1
5.155123078E0,-3.221250153E1,3.461250305E1,-8.621250153E1,9.832734127E1
5.165123078E0,-3.270000076E1,3.515625000E1,-8.673750305E1,9.913952995E1
5.175123078E0,-3.290625000E1,3.579375076E1,-8.728125000E1,9.991011202E1
5.185123078E0,-3.330000305E1,3.622500229E1,-8.793750000E1,1.007677771E2
5.195123078E0,-3.375000000E1,3.675000000E1,-8.853750610E1,1.016293018E2
5.205123078E0,-3.406875229E1,3.718125153E1,-8.926875305E1,1.025282186E2
5.215123078E0,-3.431250000E1,3.791250229E1,-8.983125305E1,1.033651755E2
5.225123078E0,-3.450000000E1,3.855000305E1,-9.041250610E1,1.041670485E2
5.235123078E0,-3.495000076E1,3.885000229E1,-9.091875458E1,1.048667972E2
5.245123078E0,-3.502500153E1,3.931875229E1,-9.146250153E1,1.055372171E2
5.255123078E0,-3.547500229E1,3.975000000E1,-9.198750305E1,1.063025823E2
5.265123078E0,-3.575625229E1,4.029375076E1,-9.245625305E1,1.070058627E2
5.275123078E0,-3.603750229E1,4.085625076E1,-9.313125610E1,1.078951605E2
5.285123078E0,-3.631875229E1,4.140000153E1,-9.369375610E1,1.086808715E2
5.295123078E0,-3.652500153E1,4.175625229E1,-9.429375458E1,1.094027993E2
5.305123078E0,-3.686250305E1,4.215000153E1,-9.506250000E1,1.103283539E2
5.315123078E0,-3.706875229E1,4.265625000E1,-9.555000305E1,1.110110406E2
5.325123078E0,-3.748125076E1,4.316250229E1,-9.620625305E1,1.119083951E2
5.335123078E0,-3.757500076E1,4.385625076E1,-9.673125458E1,1.126596069E2
5.345123078E0,-3.789375305E1,4.447500229E1,-9.720000458E1,1.134098904E2
5.355123078E0,-3.825000000E1,4.505625153E1,-9.768750763E1,1.141752051E2
5.365123078E0,-3.843750000E1,4.563750076E1,-9.840000153E1,1.150772922E2
5.375123078E0,-3.879375076E1,4.618125153E1,-9.901875305E1,1.159412633E2
5.385123078E0,-3.885000229E1,4.676250076E1,-9.960000610E1,1.166885400E2
5.395123078E0,-3.879375076E1,4.753125000E1,-1.005000076E2,1.177472987E2
5.405123078E0,-3.892500305E1,4.831875229E1,-1.009875031E2,1.185256658E2
5.415123078E0,-3.890625000E1,4.912500381E1,-1.016437531E2,1.194086045E2
5.425123078E0,-3.894375229E1,4.968750381E1,-1.025437546E2,1.204187921E2
5.435123078E0,-3.894375229E1,5.038125229E1,-1.033312531E2,1.213764157E2
5.445123078E0,-3.881250000E1,5.098125076E1,-1.040437546E2,1.221908382E2
5.455123078E0,-3.877500153E1,5.178750229E1,-1.049437561E2,1.232827566E2
5.465123078E0,-3.898125076E1,5.251875305E1,-1.057875061E2,1.243734448E2
5.475123078E0,-3.956250000E1,5.325000381E1,-1.062562561E2,1.252643057E2
5.485123078E0,-3.982500076E1,5.375625229E1,-1.071187515E2,1.262940706E2
5.495123078E0,-4.023750305E1,5.413125229E1,-1.077562561E2,1.271245840E2
5.505123078E0,-4.053750229E1,5.476875305E1,-1.083562546E2,1.279999348E2
5.515123078E0,-4.108125305E1,5.529375076E1,-1.091062546E2,1.290319457E2
5.525123078E0,-4.170000076E1,5.598750305E1,-1.097812576E2,1.300977136E2
5.535123078E0,-4.228125000E1,5.655000305E1,-1.101187515E2,1.308118740E2
5.545123078E0,-4.260000229E1,5.716875076E1,-1.106437531E2,1.316247178E2
5.555123078E0,-4.286250305E1,5.754375076E1,-1.112812576E2,1.324084428E2
5.565123078E0,-4.305000305E1,5.812500381E1,-1.120687561E2,1.333837506E2
5.575123078E0,-4.335000229E1,5.878125381E1,-1.129312515E2,1.344913606E2
5.585123078E0,-4.374375153E1,5.940000153E1,-1.137000046E2,1.355343758E2
5.595123078E0,-4.395000076E1,5.996250153E1,-1.141875076E2,1.362567101E2
5.605123078E0,-4.417500305E1,6.045000076E1,-1.148062515E2,1.370624269E2
5.615123078E0,-4.426875305E1,6.112500381E1,-1.158187561E2,1.382388254E2
5.625123078E0,-4.481250000E1,6.155625153E1,-1.163437576E2,1.390438859E2
5.635123078E0,-4.522500229E1,6.196875381E1,-1.171312561E2,1.400184218E2
5.645123078E0,-4.565625000E1,6.255000305E1,-1.178062515E2,1.409798175E2
