"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.557156475E0,-8.006250381E0,-4.430625153E1,-2.088750076E1,4.963296946E1
2.567156475E0,-8.343750000E0,-4.481250000E1,-2.060625076E1,5.002395317E1
2.577156475E0,-8.700000763E0,-4.513125229E1,-2.000625038E1,5.012753735E1
2.587156475E0,-8.887500763E0,-4.565625000E1,-1.974375153E1,5.053015494E1
2.597156475E0,-9.300000191E0,-4.612500000E1,-1.935000038E1,5.087659721E1
2.607156475E0,-9.600000381E0,-4.648125076E1,-1.931250000E1,5.124099273E1
2.617156475E0,-1.027500057E1,-4.661250305E1,-1.921875000E1,5.145543148E1
2.627156475E0,-1.081875038E1,-4.691250229E1,-1.901250076E1,5.176198814E1
2.637156475E0,-1.113750076E1,-4.693125153E1,-1.905000114E1,5.186028188E1
2.647156475E0,-1.175625038E1,-4.698750305E1,-1.916250038E1,5.208873474E1
2.657156475E0,-1.218750095E1,-4.713750076E1,-1.933125114E1,5.238488741E1
2.667156475E0,-1.278750038E1,-4.678125000E1,-1.950000000E1,5.227098160E1
2.677156475E0,-1.329375076E1,-4.646250153E1,-1.970625114E1,5.219026913E1
2.687156475E0,-1.396875095E1,-4.623750305E1,-1.985625076E1,5.222359032E1
2.697156475E0,-1.425000095E1,-4.606875229E1,-2.008125114E1,5.223647301E1
2.707156475E0,-1.449375057E1,-4.576875305E1,-2.081250000E1,5.232597556E1
2.717156475E0,-1.490625095E1,-4.586250305E1,-2.156250000E1,5.282524879E1
2.727156475E0,-1.505625057E1,-4.561875153E1,-2.199375153E1,5.283451787E1
2.737156475E0,-1.537500095E1,-4.535625076E1,-2.231250000E1,5.283396440E1
2.747156475E0,-1.530000019E1,-4.539375305E1,-2.293125153E1,5.310861624E1
2.757156475E0,-1.537500095E1,-4.535625076E1,-2.356875038E1,5.337664407E1
2.767156475E0,-1.513125038E1,-4.526250076E1,-2.390625000E1,5.337749996E1
2.777156475E0,-1.485000038E1,-4.535625076E1,-2.428125191E1,5.354709319E1
2.787156475E0,-1.460625076E1,-4.543125153E1,-2.439375114E1,5.359474108E1
2.797156475E0,-1.411875057E1,-4.541250229E1,-2.433750153E1,5.342235920E1
2.807156475E0,-1.380000019E1,-4.554375076E1,-2.450625038E1,5.352783899E1
2.817156475E0,-1.340625095E1,-4.586250305E1,-2.465625191E1,5.376827605E1
2.827156475E0,-1.327500057E1,-4.620000076E1,-2.452500153E1,5.396426049E1
2.837156475E0,-1.321875095E1,-4.668750000E1,-2.415000153E1,5.420037460E1
2.847156475E0,-1.297500038E1,-4.719375229E1,-2.405625153E1,5.453718115E1
2.857156475E0,-1.340625095E1,-4.781250000E1,-2.347500038E1,5.492575319E1
2.867156475E0,-1.368750095E1,-4.818750381E1,-2.308125114E1,5.515548350E1
2.877156475E0,-1.419375038E1,-4.871250153E1,-2.259375000E1,5.554140702E1
2.887156475E0,-1.458750057E1,-4.921875381E1,-2.231250000E1,5.597435624E1
2.897156475E0,-1.492500019E1,-4.959375381E1,-2.214375114E1,5.632620849E1
2.907156475E0,-1.522500038E1,-4.972500229E1,-2.186250114E1,5.641228098E1
